Timestamp,Station,Address,Fuel Type,Price
"17/07/2026 11:17:28","Carrickfergus Castle Extra","Minorca Place,","Diesel","178.9p"
"17/07/2026 11:17:28","Carrickfergus Castle Extra","Minorca Place,","Petrol","148.9p"
"17/07/2026 11:17:28","Tesco Petrol Station","Unit 1 Bloomfield Shopping Centre, South Circular Road ,","Diesel","178.9p"
"17/07/2026 11:17:28","Tesco Petrol Station","Unit 1 Bloomfield Shopping Centre, South Circular Road ,","Petrol","151.9p"
"17/07/2026 11:17:28","Nicholl Auto 365 Ballymoney","24 The Warren, Knock Road,","Diesel","159.9p"
"17/07/2026 11:17:28","Nicholl Auto 365 Ballymoney","24 The Warren, Knock Road,","Petrol","146.9p"
"17/07/2026 11:17:28","Nicholl Auto 365 Meekins","32 Lylehill Road East, Roughfort,","Diesel","164.9p"
"17/07/2026 11:17:28","Nicholl Auto 365 Ballymena","2 Pennybridge Industrial Estate,","Diesel","159.9p"
"17/07/2026 11:17:28","Nicholl Auto 365 Ballymena","2 Pennybridge Industrial Estate,","Petrol","146.9p"
"17/07/2026 11:17:28","Viking Lodge Service Station","174 Old Glenarm Rd,","Diesel","159.9p"
"17/07/2026 11:17:28","Viking Lodge Service Station","174 Old Glenarm Rd,","Petrol","146.9p"
"17/07/2026 11:17:28","Nicholl Auto 365 Junction 1","A26, Ballymena Rd,","Diesel","159.9p"
"17/07/2026 11:17:28","Nicholl Auto 365 Junction 1","A26, Ballymena Rd,","Petrol","146.9p"
"17/07/2026 11:17:28","Nicholl Auto 365 Newtownabbey","A2, 293 Shore Rd,","Diesel","159.9p"
"17/07/2026 11:17:28","Nicholl Auto 365 Newtownabbey","A2, 293 Shore Rd,","Petrol","146.9p"
"17/07/2026 11:17:28","Maxol Service Station Edenderry","71 Main Street,","Diesel","156.9p"
"17/07/2026 11:17:28","Maxol Service Station Edenderry","71 Main Street,","Petrol","145.9p"
"17/07/2026 11:17:28","Nicholl Auto 365 Nutts Corner","A52, 42 Belfast Road,","Diesel","159.9p"
"17/07/2026 11:17:28","Nicholl Auto 365 Nutts Corner","A52, 42 Belfast Road,","Petrol","146.9p"
"17/07/2026 11:17:31","Circle K Eglington N11","Eglington, Bray Rd, Cabinteely,","Diesel","167.8c"
"17/07/2026 11:17:31","Circle K Eglington N11","Eglington, Bray Rd, Cabinteely,","Petrol","167.8c"
"17/07/2026 11:17:31","Applegreen","Baldrumman,","Diesel","177.8c"
"17/07/2026 11:17:31","Applegreen","Baldrumman,","Petrol","173.8c"
"17/07/2026 11:17:31","Maxol Service Station Tymon","Tymon N Rd, Tallaght,","Diesel","171.9c"
"17/07/2026 11:17:31","Maxol Service Station Tymon","Tymon N Rd, Tallaght,","Petrol","175.9c"
"17/07/2026 11:17:31","Circle K Balrothery","Tallaght Bypass, Tymon South,","Diesel","176.9c"
"17/07/2026 11:17:31","Circle K Balrothery","Tallaght Bypass, Tymon South,","Petrol","174.9c"
"17/07/2026 11:17:31","Circle K Greenhills Road","Greenhills Road, Tallaght,","Diesel","175.9c"
"17/07/2026 11:17:31","Circle K Greenhills Road","Greenhills Road, Tallaght,","Petrol","175.9c"
"17/07/2026 11:17:31","Bradys Service Station @ Spawell","Tallaght Rd, Spawell,","Diesel","174.9c"
"17/07/2026 11:17:31","Bradys Service Station @ Spawell","Tallaght Rd, Spawell,","Petrol","175.9c"
"17/07/2026 11:17:31","Circle K Parkway East","Lucan Bypss/Chapelizod Bypass, Palmerston,","Diesel","174.8c"
"17/07/2026 11:17:31","Circle K Parkway East","Lucan Bypss/Chapelizod Bypass, Palmerston,","Petrol","175.8c"
"17/07/2026 11:17:31","Applegreen Southbound.","M1 Lusk Southbound, M1,","Diesel","177.9c"
"17/07/2026 11:17:31","Applegreen Southbound.","M1 Lusk Southbound, M1,","Petrol","177.9c"
"17/07/2026 11:17:31","Circle K Apollo","14 Dundrum Rd, Dundrum,","Diesel","170.9c"
"17/07/2026 11:17:31","Circle K Apollo","14 Dundrum Rd, Dundrum,","Petrol","172.9c"
"17/07/2026 11:17:31","Circle K Taney","14 Taney Rd, Kilmacud West,","Diesel","170.9c"
"17/07/2026 11:17:31","Circle K Taney","14 Taney Rd, Kilmacud West,","Petrol","172.9c"
"17/07/2026 11:17:45","Carrickfergus Castle Extra","Minorca Place,","Diesel","178.9p"
"17/07/2026 11:17:45","Carrickfergus Castle Extra","Minorca Place,","Petrol","148.9p"
"17/07/2026 11:17:45","Tesco Petrol Station","Unit 1 Bloomfield Shopping Centre, South Circular Road ,","Diesel","178.9p"
"17/07/2026 11:17:45","Tesco Petrol Station","Unit 1 Bloomfield Shopping Centre, South Circular Road ,","Petrol","151.9p"
"17/07/2026 11:17:45","Nicholl Auto 365 Ballymoney","24 The Warren, Knock Road,","Diesel","159.9p"
"17/07/2026 11:17:45","Nicholl Auto 365 Ballymoney","24 The Warren, Knock Road,","Petrol","146.9p"
"17/07/2026 11:17:45","Nicholl Auto 365 Meekins","32 Lylehill Road East, Roughfort,","Diesel","164.9p"
"17/07/2026 11:17:45","Nicholl Auto 365 Ballymena","2 Pennybridge Industrial Estate,","Diesel","159.9p"
"17/07/2026 11:17:45","Nicholl Auto 365 Ballymena","2 Pennybridge Industrial Estate,","Petrol","146.9p"
"17/07/2026 11:17:45","Viking Lodge Service Station","174 Old Glenarm Rd,","Diesel","159.9p"
"17/07/2026 11:17:45","Viking Lodge Service Station","174 Old Glenarm Rd,","Petrol","146.9p"
"17/07/2026 11:17:45","Nicholl Auto 365 Junction 1","A26, Ballymena Rd,","Diesel","159.9p"
"17/07/2026 11:17:45","Nicholl Auto 365 Junction 1","A26, Ballymena Rd,","Petrol","146.9p"
"17/07/2026 11:17:45","Nicholl Auto 365 Newtownabbey","A2, 293 Shore Rd,","Diesel","159.9p"
"17/07/2026 11:17:45","Nicholl Auto 365 Newtownabbey","A2, 293 Shore Rd,","Petrol","146.9p"
"17/07/2026 11:17:45","Maxol Service Station Edenderry","71 Main Street,","Diesel","156.9p"
"17/07/2026 11:17:45","Maxol Service Station Edenderry","71 Main Street,","Petrol","145.9p"
"17/07/2026 11:17:45","Nicholl Auto 365 Nutts Corner","A52, 42 Belfast Road,","Diesel","159.9p"
"17/07/2026 11:17:45","Nicholl Auto 365 Nutts Corner","A52, 42 Belfast Road,","Petrol","146.9p"
